file,year,total,old_law,new_law
/home/rstudio/courtdata/circuit_criminal_2009_anon_00.csv,2009,173443,53056,4693
/home/rstudio/courtdata/district_criminal_2009_anon_00.csv,2009,250000,51033,3679
/home/rstudio/courtdata/district_criminal_2009_anon_01.csv,2009,250000,54802,6263
/home/rstudio/courtdata/district_criminal_2009_anon_02.csv,2009,250000,48417,4599
/home/rstudio/courtdata/district_criminal_2009_anon_03.csv,2009,250000,46979,3812
/home/rstudio/courtdata/district_criminal_2009_anon_04.csv,2009,250000,48352,4584
/home/rstudio/courtdata/district_criminal_2009_anon_05.csv,2009,250000,50232,4685
/home/rstudio/courtdata/district_criminal_2009_anon_06.csv,2009,250000,49561,4297
/home/rstudio/courtdata/district_criminal_2009_anon_07.csv,2009,250000,54904,5528
/home/rstudio/courtdata/district_criminal_2009_anon_08.csv,2009,250000,44281,4608
/home/rstudio/courtdata/district_criminal_2009_anon_09.csv,2009,206047,40874,4600
/home/rstudio/courtdata/circuit_criminal_2010_anon_00.csv,2010,169027,51504,4965
/home/rstudio/courtdata/district_criminal_2010_anon_00.csv,2010,250000,50578,5272
/home/rstudio/courtdata/district_criminal_2010_anon_01.csv,2010,250000,47153,6377
/home/rstudio/courtdata/district_criminal_2010_anon_02.csv,2010,250000,45763,3335
/home/rstudio/courtdata/district_criminal_2010_anon_03.csv,2010,250000,54319,5263
/home/rstudio/courtdata/district_criminal_2010_anon_04.csv,2010,250000,55291,5380
/home/rstudio/courtdata/district_criminal_2010_anon_05.csv,2010,250000,45491,5118
/home/rstudio/courtdata/district_criminal_2010_anon_06.csv,2010,250000,52670,5422
/home/rstudio/courtdata/district_criminal_2010_anon_07.csv,2010,250000,50578,4612
/home/rstudio/courtdata/district_criminal_2010_anon_08.csv,2010,250000,51491,3558
/home/rstudio/courtdata/district_criminal_2010_anon_09.csv,2010,139943,23217,1532
/home/rstudio/courtdata/circuit_criminal_2011_anon_00.csv,2011,169864,51095,4930
/home/rstudio/courtdata/district_criminal_2011_anon_00.csv,2011,250000,50425,4760
/home/rstudio/courtdata/district_criminal_2011_anon_01.csv,2011,250000,48777,5391
/home/rstudio/courtdata/district_criminal_2011_anon_02.csv,2011,250000,54851,6150
/home/rstudio/courtdata/district_criminal_2011_anon_03.csv,2011,250000,45332,3678
/home/rstudio/courtdata/district_criminal_2011_anon_04.csv,2011,250000,47649,4584
/home/rstudio/courtdata/district_criminal_2011_anon_05.csv,2011,250000,51029,5360
/home/rstudio/courtdata/district_criminal_2011_anon_06.csv,2011,250000,47306,4703
/home/rstudio/courtdata/district_criminal_2011_anon_07.csv,2011,250000,45026,4888
/home/rstudio/courtdata/district_criminal_2011_anon_08.csv,2011,250000,57686,4857
/home/rstudio/courtdata/district_criminal_2011_anon_09.csv,2011,55212,13518,631
