file,Civil,Felony,Infraction,Misdemeanor,"Other (Animal Violations, Bond Appeals)",F,Capias,Other,Show Cause,Non Case,Civil Violation,Restricted Operator's License For Fine and Costs Only,Motion [18.2-271.1(E)]
/home/rstudio/courtdata/circuit_criminal_2000_anon_00.csv,1,92562,5,43923,8,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2001_anon_00.csv,1,99749,19,45651,7,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2002_anon_00.csv,0,103648,6,45939,6,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2003_anon_00.csv,2,103611,2619,44425,8,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2004_anon_00.csv,2,109950,8083,40766,2,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2005_anon_00.csv,3,111931,7942,38325,10,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2006_anon_00.csv,0,122404,7589,40564,9,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2007_anon_00.csv,0,127179,7053,42481,720,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2008_anon_00.csv,1,126630,7409,42510,1650,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2009_anon_00.csv,2,122982,8174,40065,2220,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2010_anon_00.csv,25,117619,8776,39713,2894,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2011_anon_00.csv,191,117206,9100,40316,3051,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2012_anon_00.csv,408,120248,8422,40744,4017,1,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2013_anon_00.csv,629,124261,7541,41346,4434,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2014_anon_00.csv,1059,126404,7175,40732,4836,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2015_anon_00.csv,818,122025,6488,39576,5452,0,0,0,0,0,0,0,0
