file,MISSING,Appeal Withdrawn,Dismissed,Guilty,Mistrial,No Indictment Presented,Nolle Prosequi,Not Guilty By Reason Of Insanity,Not Guilty/Acquitted,Not True Bill,Remanded,Resolved,Sentence/Probation Revoked,Certified To Grand Jury,Complied With Law,Defendant Not Found,Fugitive File,Guilty In Absentia,Not Guilty,Other,Prepaid,Transferred To Another Jurisdiction/Court,Extradition Waived,Denied,Granted,Dismissed/Other,Not Guilty/Insanity,Bond Forfeited,Certified Misdemeanor,Extradition Ordered,Adjudicated Habitual Offender
/home/rstudio/courtdata/circuit_criminal_2000_anon_00.csv,484,2402,14638,72996,186,304,20328,9,3192,345,242,6677,14696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2001_anon_00.csv,453,2432,15223,76527,172,302,21753,22,3445,271,230,6829,17768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2002_anon_00.csv,523,2589,15387,78132,223,283,23528,40,2799,366,222,6235,19272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2003_anon_00.csv,524,2582,16173,78179,247,294,23490,24,3091,249,195,5260,20357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2004_anon_00.csv,617,2988,16949,80204,278,427,27298,24,3101,301,212,5058,21346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2005_anon_00.csv,684,2620,16218,77148,285,268,28344,25,2903,301,199,5296,23920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2006_anon_00.csv,765,2577,17380,82283,338,343,31157,19,2764,297,216,5902,26525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2007_anon_00.csv,1123,2811,17026,85922,242,329,31241,40,3406,313,289,6966,27725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2008_anon_00.csv,1062,3079,17568,83505,278,293,32937,73,3173,303,294,7628,28007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2009_anon_00.csv,1329,2916,17445,81567,325,328,32126,59,3059,367,265,6522,27135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2010_anon_00.csv,1364,3026,16879,80220,267,295,31567,62,2720,276,297,5161,26893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2011_anon_00.csv,1025,3326,17022,80805,230,339,31278,91,2379,325,405,5077,27562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2012_anon_00.csv,1431,3385,17260,81327,277,395,31833,98,2266,334,529,5895,28810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2013_anon_00.csv,2031,3411,16423,81947,202,338,35555,108,2445,308,718,5809,28916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2014_anon_00.csv,2078,3497,16640,82626,192,345,32614,159,2278,298,1280,5338,32861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2015_anon_00.csv,2730,3056,17046,76119,270,310,31170,188,2261,277,1138,5362,34432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2016_anon_00.csv,4037,2667,15990,74972,212,336,31596,213,2105,262,1325,6505,35972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2017_anon_00.csv,5051,2487,16451,74536,239,424,32711,148,2285,359,1834,6838,38695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2018_anon_00.csv,7844,2472,16905,77263,234,357,33423,212,2137,305,1824,6276,39605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/rstudio/courtdata/circuit_criminal_2019_anon_00.csv,27797,2453,18466,82145,232,343,38126,477,2140,313,2162,6953,42651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
